Store Number,Store Type,Region,Year,Display Name,Address,City,State,Zip Code,Country,Latitude,Longitude
2973,2,Dallas,2013,Walmart,115 West Fm 544,Murphy,TX,75094,US,33.01320599,-96.615074
2977,4,Dallas,?,Walmart Neighborhood Market,735 W Sublett Rd,Arlington,TX,76017,US,32.645755,-97.117187
2995,4,Dallas,?,Walmart Neighborhood Market,8040 Independence Pkwy,Plano,TX,75025,US,33.086978,-96.748512
2996,1,Dallas,2001,Walmart Supercenter,18121 Marsh Ln,Dallas,TX,75287,US,32.995502,-96.857765
3014,1,Dallas,?,Walmart Supercenter,200 Short St,Dallas,TX,75232,US,32.5842781,-96.95388793
3198,4,Dallas,?,Walmart Neighborhood Market,4025 Old Denton Rd,Carrollton,TX,75007,US,33.01843199,-96.91608399
3199,4,Dallas,?,Walmart Neighborhood Market,3513 E Park Blvd,Plano,TX,75074,US,33.032245,-96.66617499
3225,1,Dallas,2001,Walmart Supercenter,2501 Lakeview Pkwy,Rowlett,TX,75088,US,32.91094199,-96.577667
3285,1,Dallas,?,Walmart Supercenter,621 Uptown Blvd,Cedar Hill,TX,75104,US,32.59637184,-96.94513298
3287,4,Dallas,2002,Walmart Neighborhood Market,1515 Justin Rd,Lewisville,TX,75077,US,33.072715,-97.037925
3392,4,Dallas,?,Walmart Neighborhood Market,2108 Bedford Rd,Bedford,TX,76021,US,32.843696,-97.131973
3433,1,Dallas,2012,Walmart Supercenter,100 Ryan Drive,Red Oak,TX,75154,US,32.53388977,-96.81736755
3482,1,Dallas,2002,Walmart Supercenter,425 Coit Rd,Plano,TX,75075,US,33.00412299,-96.770774
3530,4,Dallas,?,Walmart Neighborhood Market,850 W Rusk St,Rockwall,TX,75087,US,32.931713,-96.468185
3574,4,Dallas,?,Walmart Neighborhood Market,1520 E Exchange Pkwy,Allen,TX,75002,US,33.114147,-96.62975299
3594,4,Dallas,?,Walmart Neighborhood Market,2610 W Pioneer Pkwy,Pantego,TX,76013,US,32.70962208,-97.15084768
3834,4,Dallas,?,Walmart Neighborhood Market,428 N Dallas Street,Palmer,TX,75152,US,32.43726186,-96.66848726
4182,4,Dallas,2013,Walmart Neighborhood Market,3312 Preston Road,Plano,TX,75093,US,33.04313599,-96.79258699
4279,1,Dallas,?,Walmart Supercenter,400 N Highway 67,Midlothian,TX,76065,US,32.48555973,-97.00888372
5092,1,Dallas,?,Walmart Supercenter,190 E Round Grove Rd,Lewisville,TX,75067,US,33.00119399,-96.991172
5191,1,Dallas,2005,Walmart Supercenter,802 E Us Highway 80,Forney,TX,75126,US,32.74472399,-96.446106
5210,1,Dallas,2004,Walmart Supercenter,2050 N Highway 78,Wylie,TX,75098,US,33.02304826,-96.51481211
5211,1,Dallas,2004,Walmart Supercenter,5001 Mckinney Ranch Pkwy,Mckinney,TX,75070,US,33.15805799,-96.683525
5288,1,Dallas,2004,Walmart Supercenter,220 N Highway 175,Seagoville,TX,75159,US,32.64954,-96.53434799
5416,1,Dallas,2005,Walmart Supercenter,915 E Randol Mill Rd,Arlington,TX,76011,US,32.750892,-97.09463499
5613,4,Dallas,?,Walmart Neighborhood Market,2121 N Collins St,Arlington,TX,76011,US,32.76776298,-97.09706403
5614,4,Dallas,?,Walmart Neighborhood Market,4904 Colleyville Blvd,Colleyville,TX,76034,US,32.88214099,-97.15676799
5657,4,Dallas,?,Walmart Neighborhood Market,3100 Custer Rd,Plano,TX,75075,US,33.04014899,-96.731582
5672,2,Dallas,2013,Walmart,2662 W Lucas Rd,Lucas,TX,75002,US,33.08546829,-96.60813903
5673,2,Dallas,2014,Walmart,8015 Woodbridge Parkway,Sachse,TX,75048,US,32.98952865,-96.56922912
5823,1,Dallas,?,Walmart Supercenter,6185 Retail Rd,Dallas,TX,75231,US,32.86176502,-96.75373859
5866,1,Dallas,?,Walmart Supercenter,8555 Preston Rd,Frisco,TX,75034,US,33.14641177,-96.80480718
5963,4,Dallas,?,Walmart Neighborhood Market,2800 Flower Mound Rd,Flower Mound,TX,75022,US,33.01549099,-97.071922
5986,4,Dallas,?,Walmart Neighborhood Market,4268 Legacy Dr,Frisco,TX,75034,US,33.114803,-96.83811099
6078,4,Dallas,2015,Walmart Neighborhood Market,1400 Mccreary Road,Wylie,TX,75098,US,33.03336672,-96.59465409
6851,4,Dallas,?,Walmart Neighborhood Market,6750 Murphy Road,Sachse,TX,75048,US,32.98313833,-96.61333166
7323,2,Dallas,2014,Walmart,13307 Midway Rd Tba 2105,Farmers Branch,TX,75244,US,32.926853,-96.84083599
2258,2,DC,1996,Walmart,7910 Richmond Hwy,Alexandria,VA,22306,US,38.74297969,-77.08513207
2194,2,DC,1995,Walmart,5885 Kingstowne Blvd,Alexandria,VA,22315,US,38.76975631,-77.13613891
2799,2,DC,2000,Walmart,8745 Branch Ave,Clinton,MD,20735,US,38.77216346,-76.88751161
5129,2,DC,2007,Walmart,6210 Annapolis Rd,Landover Hills,MD,20784,US,38.94631958,-76.89414978
5753,1,DC,2010,Walmart Supercenter,6303 Richmond Hwy,Alexandria,VA,22306,US,38.78100603,-77.07848288
5936,2,DC,2013,Walmart,1500 B Cornerside Blvd,Vienna,VA,22182,US,38.93059158,-77.24497222
5941,1,DC,2013,Walmart Supercenter,99 H Street Nw,Washington,DC,20001,US,38.900249,-77.01199561
5968,1,DC,2013,Walmart Supercenter,5929 Georgia Ave Nw,Washington,DC,20011,US,38.96210099,-77.02728999
9997,,DC,2016,,,Washington,DC,,,38.889386,-76.913202
9998,,DC,2016,,,Washington,DC,,,38.860957,-76.967594
9999,,DC,2016,,,Washington,DC,,,38.957351,-77.002408
1590,1,Miami,1992,Walmart Supercenter,5851 Nw 177Th St,Hialeah,FL,33015,US,25.93504905,-80.29637145
2091,1,Miami,2012,Walmart Supercenter,8651 Nw 13Th Ter,Doral,FL,33126,US,25.786736,-80.33572399
2814,1,Miami,2012,Walmart Supercenter,9300 Nw 77Th Ave,Hialeah,FL,33016,US,25.85665784,-80.32318197
2907,4,Miami,2015,Walmart Neighborhood Market,3791 Nw 167Th Street,Miami Gardens,FL,33055,US,25.92644699,-80.26215399
3235,1,Miami,2005,Walmart Supercenter,1425 Ne 163Rd St,North Miami Beach,FL,33162,US,25.92563286,-80.17318882
3311,1,Miami,?,Walmart Supercenter,19501 Nw 27Th Ave,Miami Gardens,FL,33056,US,25.953306,-80.244003
3397,1,Miami,2006,Walmart Supercenter,17650 Nw 2Nd Ave,Miami Gardens,FL,33169,US,25.93556699,-80.20716
4140,4,Miami,2014,Walmart Neighborhood Market,6991 Sw 8Th St,Miami,FL,33134,US,25.76449203,-80.30850982
4161,2,Miami,2014,Walmart,9191 W. Flagler St,Miami,FL,33174,US,25.76942101,-80.34420244
4303,2,Miami,2015,Walmart,3200 Nw 79Th Street,Miami,FL,33147,US,25.843837,-80.25142599
5615,4,Miami,2012,Walmart Neighborhood Market,11800 Hialeah Gardens Blvd,Hialeah Gardens,FL,33018,US,25.89596939,-80.3512268
5854,1,Miami,2011,Walmart Supercenter,8400 Coral Way,Miami,FL,33155,US,25.74765019,-80.33166043
5945,4,Miami,2012,Walmart Neighborhood Market,400 W 49Th St,Hialeah,FL,33012,US,25.86588199,-80.292045
2583,2,New York,1997,Walmart,1123 Jerusalem Ave,Uniondale,NY,11553,US,40.69417476,-73.57819072
3420,2,New York,?,Walmart,1220 Old Country Rd,Westbury,NY,11590,US,40.744663,-73.601127
3520,1,New York,2004,Walmart Supercenter,400 Park Pl,Secaucus,NJ,7094,US,40.79074501,-74.0442641
3795,1,New York,2010,Walmart Supercenter,2100 88Th St,North Bergen,NJ,7047,US,40.81240117,-74.01428371
5293,2,New York,2003,Walmart,77 Green Acres Rd,Valley Stream,NY,11581,US,40.660957,-73.72656999
1512,1,Phoenix,1990,Walmart Supercenter,800 W Warner Rd,Chandler,AZ,85225,US,33.337063,-111.854614
1532,1,Phoenix,1990,Walmart Supercenter,5845 W Bell Rd,Glendale,AZ,85308,US,33.63703499,-112.184997
1533,1,Phoenix,2007,Walmart Supercenter,7975 W Peoria Ave,Peoria,AZ,85345,US,33.5811147,-112.2304527
1549,1,Phoenix,1991,Walmart Supercenter,2020 N 75Th Ave,Phoenix,AZ,85035,US,33.47106899,-112.222976
1598,2,Phoenix,1991,Walmart,4617 E Bell Rd,Phoenix,AZ,85032,US,33.639034,-111.981758
1746,1,Phoenix,1992,Walmart Supercenter,1380 W Elliot Rd,Tempe,AZ,85284,US,33.350521,-111.96128
2112,1,Phoenix,1994,Walmart Supercenter,4915 N Pima Rd,Scottsdale,AZ,85251,US,33.50777506,-111.8914765
2113,1,Phoenix,?,Walmart Supercenter,1607 W Bethany Home Rd,Phoenix,AZ,85015,US,33.522308,-112.092979
2482,1,Phoenix,?,Walmart Supercenter,857 N Dobson Rd,Mesa,AZ,85201,US,33.43188531,-111.8737444
2512,1,Phoenix,?,Walmart Supercenter,1825 W Bell Rd,Phoenix,AZ,85023,US,33.637852,-112.098099
2515,1,Phoenix,2000,Walmart Supercenter,3721 E Thomas Rd,Phoenix,AZ,85018,US,33.48041251,-112.001488
2554,1,Phoenix,1998,Walmart Supercenter,13055 W Rancho Santa Fe Blvd,Avondale,AZ,85392,US,33.459625,-112.338096
2632,4,Phoenix,2014,Walmart Neighborhood Market,115 E Dunlap Ave,Phoenix,AZ,85020,US,33.56676099,-112.072128
2657,4,Phoenix,2003,Walmart Neighborhood Market,6085 W Chandler Blvd,Chandler,AZ,85226,US,33.30523878,-111.9469667
2671,1,Phoenix,2005,Walmart Supercenter,1175 S Arizona Ave,Chandler,AZ,85286,US,33.28920699,-111.838692
2766,1,Phoenix,2000,Walmart Supercenter,15355 N Northsight Blvd,Scottsdale,AZ,85260,US,33.62338299,-111.893791
2767,1,Phoenix,2004,Walmart Supercenter,4505 E Mckellips Rd,Mesa,AZ,85215,US,33.449573,-111.733627
2768,1,Phoenix,1999,Walmart Supercenter,1955 S Stapley Dr,Mesa,AZ,85204,US,33.38048899,-111.803482
2777,1,Phoenix,2000,Walmart Supercenter,13770 W Bell Rd,Surprise,AZ,85374,US,33.64255899,-112.357711
3241,1,Phoenix,?,Walmart Supercenter,18551 N 83Rd Ave,Glendale,AZ,85308,US,33.64972025,-112.2367901
3314,4,Phoenix,2005,Walmart Neighborhood Market,7450 W Glendale Ave,Glendale,AZ,85303,US,33.538975,-112.218918
3315,4,Phoenix,?,Walmart Neighborhood Market,4230 W Union Hills Dr,Glendale,AZ,85308,US,33.65464344,-112.150305
3465,1,Phoenix,2003,Walmart Supercenter,5010 N 95Th Ave,Glendale,AZ,85305,US,33.51014299,-112.266273
